Penaeus monodon
Chelicorophium curvispinum
Terebra corrugata
Paraleucilla dalmatica
Bonnemaisonia hamifera
Diadumene lineata
Pseudomyicola spinosus spinosus
Homarus americanus
Hexapleomera robusta
Alexandrium margalefii
Ameiurus nebulosus
Takayama tasmanica
Pimephales promelas
Euchone incolor
Polydora hoplura
Maeotias marginata
Botrylloides diegensis
Diplodus vulgaris
Pseudodactylogyrus bini
Salix mollissima
Caulerpa prolifera
Monocorophium uenoi
Mytilopsis leucophaeata
Desmacella meliorata
Holocentrus adscensionis
Melanothamnus collabens
Alexandrium leei
Neodexiospira brasiliensis
Lysichiton americanus
Holacanthus africanus
Spatula cyanoptera
Pteroplatytrygon violacea
Chara connivens
Polydora aggregata
Polydora cornuta
Oncorhynchus gorbuscha
Phymactis papillosa
Magallana angulata
Pinctada radiata
Grateloupia subpectinata
Anser cygnoides
Nonionella stella
Chaetoceros circinalis
Alternanthera philoxeroides
Austromegabalanus nigrescens
Obesogammarus crassus
Abudefduf taurus
Megabalanus tintinnabulum
Amphibalanus reticulatus
Lutjanus goreensis
Isognomon radiatus
Microdeutopus similis
Gymnodinium microreticulatum
Haliclystus tenuis
Corymbellus aureus
Pontastacus leptodactylus
Gammarus tigrinus
Mytilus galloprovincialis
Solidobalanus fallax
Myripristis jacobus
Lithoglyphus naticoides
Polysiphonia senticulosa
Dyspanopeus texanus
Craterolophus convolvulus
Grateloupia turuturu
Conchoderma auritum
Prionospio pulchra
Amathia imbricata
Paranthura japonica
Pseudofusus rostratus
Alloeocarpa loculosa
Phorcus sauciatus
Beroe ovata
Lysichiton camtschatcensis
Blackfordia virginica
Cornigerius maeoticus
Amathia gracilis
Stenothoe georgiana
Columbella adansoni
Tritia pellucida
Mediopyxis helysia
Penaeus semisulcatus
Crambe crambe
Misgurnus anguillicaudatus
Culicia tenella
Paranais frici
Pontederia crassipes
Bolinus brandaris
Charybdis hellerii
Scageliopsis patens
Prosuberites longispinus
Polyclinum aurantium
Codium fragile
Mulinia lateralis
Neomysis integer
Anguillicola crassus
Botrylloides niger
Crassostrea rhizophorae
Laurencia minuta
Pherusa affinis
Dipolydora socialis
Phorcus lineatus
Aoroides longimerus
Tubularia indivisa
Pygoscelis papua
Jasus lalandii
Brachynotus sexdentatus
Tigrigobius zebrellus
Indothais lacera
Chaetoceros convolutus
Oncorhynchus clarkii
Botrytella parva
Pomatostegus stellatus
Ciona robusta
Acipenser stellatus
